Order ID,Product ID,Category,Sub-Category,Order Date,Ship Date,Customer ID,Customer Name,Region,Country,Sales,Quantity,Discount,Profit,Shipping Cost,Payment Method,Review Score
ORD012,PROD022,Books,Fiction,09-05-2024,12-05-2024,CUST122,Nicole Brown,Asia,China,235.94,3,0.3,33.44,18.63,Gift Card,3
ORD013,PROD023,Beauty,Perfumes,08-09-2024,12-09-2024,CUST123,Oscar Holt,Australia,Australia,250.06,4,0.01,25.05,38.09,PayPal,2
ORD014,PROD024,Toys,Puzzles,21-06-2024,27-06-2024,CUST124,Emily Sanchez,Australia,Australia,383.47,4,0.07,113.82,11.84,Credit Card,5
ORD015,PROD025,Beauty,Makeup,08-11-2024,11-11-2024,CUST125,Samantha Allen,Asia,India,441.79,1,0.22,111.16,37.46,PayPal,1
ORD016,PROD026,Clothing,Jeans,24-05-2024,27-05-2024,CUST126,Michael Hughes,South America,Argentina,85.32,2,0.08,13.49,7.98,PayPal,3
ORD017,PROD027,Sports,Sportswear,10-11-2024,19-11-2024,CUST127,Kelly Porter,Asia,India,167.6,1,0.08,32.62,24.62,Gift Card,1
ORD018,PROD028,Beauty,Perfumes,09-04-2024,18-04-2024,CUST128,Crystal Brown,Europe,France,154.2,2,0.09,45.91,36.94,Credit Card,1
ORD019,PROD029,Beauty,Makeup,23-08-2024,31-08-2024,CUST129,Scott Zavala,South America,Argentina,494.54,3,0.3,68.63,45.15,PayPal,2
ORD020,PROD030,Home & Kitchen,Cookware,22-08-2024,25-08-2024,CUST130,Courtney Hamilton,Asia,South Korea,469.72,4,0.26,62.9,24.16,Credit Card,1
ORD021,PROD031,Beauty,Skincare,30-03-2024,02-04-2024,CUST131,Victoria Romero,North America,Mexico,416.32,3,0.02,102.07,8.17,Gift Card,2
ORD022,PROD032,Toys,Board Games,22-03-2024,30-03-2024,CUST132,Marisa Griffin,Europe,Italy,413.3,3,0.04,62,41.3,Credit Card,3
ORD023,PROD033,Beauty,Haircare,22-02-2025,03-03-2025,CUST133,Dana Young,South America,Brazil,221.78,4,0,55.32,28.96,Gift Card,1
ORD024,PROD034,Sports,Dumbbells,26-01-2025,02-02-2025,CUST134,Robert Rhodes,Australia,Australia,17.78,1,0.15,4.61,21.55,Gift Card,1
ORD025,PROD035,Beauty,Haircare,04-12-2024,08-12-2024,CUST135,Donald Vargas,Asia,South Korea,271.58,4,0.23,51.92,48.34,PayPal,4
ORD026,PROD036,Beauty,Skincare,04-04-2024,10-04-2024,CUST136,Terri Jarvis,Australia,Australia,381.51,4,0.04,45.51,8.13,Credit Card,3
ORD027,PROD037,Beauty,Perfumes,04-07-2024,07-07-2024,CUST137,Antonio Jones,South America,Colombia,149.05,3,0.28,15.74,28.25,PayPal,4
ORD028,PROD038,Home & Kitchen,Bedding,27-12-2024,05-01-2025,CUST138,Larry Potter,South America,Argentina,359.62,2,0.16,84.23,9.68,Credit Card,3
ORD029,PROD039,Toys,Action Figures,04-07-2024,10-07-2024,CUST139,Monica Pena,South America,Colombia,170.46,1,0.12,50.85,43.93,PayPal,1
ORD030,PROD040,Books,Non-Fiction,14-02-2025,21-02-2025,CUST140,Craig Smith,Australia,New Zealand,209.3,2,0.04,48.72,29.48,PayPal,2
ORD031,PROD041,Sports,Sportswear,24-11-2024,02-12-2024,CUST141,Norma Rose,Australia,Australia,69.18,3,0.2,18.06,20.66,Debit Card,1
ORD032,PROD042,Clothing,Shoes,29-02-2024,08-03-2024,CUST142,Geoffrey Raymond,North America,USA,370.79,1,0.03,103.68,41.99,Debit Card,3
ORD033,PROD043,Toys,Action Figures,07-11-2024,15-11-2024,CUST143,Mary Miller,Asia,China,451.1,4,0.03,75.78,32.67,PayPal,1
ORD034,PROD044,Clothing,Shirts,31-03-2024,06-04-2024,CUST144,Yolanda Perez,North America,Mexico,422.13,4,0.04,100.46,48.94,Debit Card,1
ORD035,PROD045,Home & Kitchen,Furniture,28-03-2024,03-04-2024,CUST145,Jaime Perez,North America,Canada,157.66,1,0.23,24.92,32.95,PayPal,4
ORD036,PROD046,Sports,Dumbbells,05-05-2024,13-05-2024,CUST146,Rhonda Kaufman,South America,Argentina,334.88,3,0.07,76.98,44.62,PayPal,5
ORD037,PROD047,Home & Kitchen,Furniture,12-12-2024,21-12-2024,CUST147,Valerie Rice,Australia,New Zealand,330.71,1,0.26,67.78,14.57,Credit Card,2
ORD038,PROD048,Home & Kitchen,Bedding,31-08-2024,08-09-2024,CUST148,Melissa Barajas,North America,USA,482.43,2,0.02,128.54,6.22,PayPal,2
ORD039,PROD049,Electronics,Headphones,28-05-2024,30-05-2024,CUST149,Tina Holmes,South America,Argentina,461.04,2,0.05,96.66,43.88,PayPal,3
ORD040,PROD050,Home & Kitchen,Decor,05-12-2024,12-12-2024,CUST150,Rhonda Adams,North America,USA,26.14,4,0.21,6.94,19.94,Gift Card,4
ORD041,PROD051,Clothing,Shoes,27-02-2025,02-03-2025,CUST151,Steven Fischer,South America,Argentina,36.08,4,0.17,5.47,42.55,Gift Card,5
ORD042,PROD052,Home & Kitchen,Furniture,14-09-2024,22-09-2024,CUST152,Chad Thompson,South America,Argentina,270.21,1,0.05,51.1,41.84,Debit Card,2
ORD043,PROD053,Books,Fiction,16-04-2024,23-04-2024,CUST153,Jesus Burke,Australia,Australia,263.75,2,0.06,73.18,36.75,Debit Card,4
ORD044,PROD054,Sports,Treadmills,23-07-2024,27-07-2024,CUST154,Scott Patel,Europe,Germany,380.12,4,0.26,110.35,46.08,Gift Card,2
ORD045,PROD055,Books,Educational,20-01-2025,28-01-2025,CUST155,Matthew Wolfe,Asia,India,173.38,1,0.14,28.53,36.87,Gift Card,1
ORD046,PROD056,Clothing,Jeans,15-08-2024,18-08-2024,CUST156,Janice Love,South America,Argentina,358.69,1,0.09,58.07,13.26,Debit Card,5
ORD047,PROD057,Home & Kitchen,Furniture,24-08-2024,31-08-2024,CUST157,Lisa Khan,Australia,New Zealand,392.24,4,0.18,41.7,49.86,PayPal,1
ORD048,PROD058,Clothing,Jeans,29-04-2024,02-05-2024,CUST158,Julie Lee DVM,Australia,Australia,266.97,3,0.21,73.41,42.91,PayPal,3
ORD049,PROD059,Books,Fiction,17-09-2024,25-09-2024,CUST159,Haley Gilbert,Europe,France,417.6,3,0.23,99.88,16.21,Debit Card,3
ORD050,PROD060,Toys,Stuffed Toys,05-12-2024,13-12-2024,CUST160,Nicholas Harvey,North America,Canada,461.18,1,0.13,59.53,10.27,Gift Card,3
ORD051,PROD061,Home & Kitchen,Furniture,04-09-2024,06-09-2024,CUST161,Mrs. Michelle Gordon,Asia,China,394.04,2,0.16,99.93,30.95,Credit Card,2
ORD052,PROD062,Toys,Puzzles,21-02-2025,24-02-2025,CUST162,Timothy Fritz,South America,Brazil,94.92,2,0.29,26.33,9.73,PayPal,5
ORD053,PROD063,Beauty,Makeup,09-11-2024,15-11-2024,CUST163,Debra Gonzalez,North America,Canada,390.68,1,0.18,110.17,7.47,Credit Card,5
ORD054,PROD064,Toys,Action Figures,26-03-2024,28-03-2024,CUST164,Julie Munoz DDS,Asia,China,357.14,4,0.03,94.6,41.25,PayPal,5
ORD055,PROD065,Home & Kitchen,Bedding,13-03-2024,17-03-2024,CUST165,Deborah Williams,Australia,Australia,414.25,2,0.23,97.18,46.78,Credit Card,5
ORD056,PROD066,Toys,Board Games,13-09-2024,15-09-2024,CUST166,Angel Armstrong,North America,Mexico,91.79,1,0.03,16.2,15.32,Credit Card,2
ORD057,PROD067,Sports,Bicycles,16-10-2024,23-10-2024,CUST167,Samuel Reilly Jr.,South America,Argentina,80.07,1,0.04,19.79,13.49,Debit Card,5
ORD058,PROD068,Sports,Bicycles,30-10-2024,06-11-2024,CUST168,Juan Ramos,South America,Colombia,345.07,2,0.08,94.47,19.98,Debit Card,2
ORD059,PROD069,Beauty,Perfumes,27-05-2024,29-05-2024,CUST169,Pamela White,South America,Colombia,401.3,4,0.05,103.23,32.79,Credit Card,3
ORD060,PROD070,Sports,Dumbbells,12-04-2024,17-04-2024,CUST170,Michael Parks MD,Asia,Japan,312.77,4,0.17,45.26,29.31,Debit Card,2
ORD061,PROD071,Electronics,Headphones,11-06-2024,18-06-2024,CUST171,James Herrera,Australia,New Zealand,224.88,1,0.21,49.44,22.59,Credit Card,3
ORD062,PROD072,Clothing,Jeans,11-12-2024,16-12-2024,CUST172,Thomas Wilson,North America,Canada,390.34,3,0.09,111.69,36.54,PayPal,3
ORD063,PROD073,Toys,Action Figures,05-09-2024,11-09-2024,CUST173,Erika Gutierrez,Australia,New Zealand,230.47,2,0.17,52.51,37.64,PayPal,2
ORD064,PROD074,Books,Fiction,25-06-2024,28-06-2024,CUST174,Dr. Mark Cooke,South America,Colombia,24.14,1,0.06,3.63,9.78,Credit Card,3
ORD065,PROD075,Sports,Treadmills,03-10-2024,07-10-2024,CUST175,Stacey Rosales,Australia,Australia,55.36,2,0.12,14.67,24.52,Gift Card,2
ORD066,PROD076,Home & Kitchen,Furniture,08-09-2024,12-09-2024,CUST176,Eric Rhodes,Australia,Australia,497.29,2,0.13,65.57,40.56,PayPal,4
ORD067,PROD077,Beauty,Skincare,14-08-2024,18-08-2024,CUST177,Kimberly Reynolds,Asia,South Korea,453.7,3,0.22,134.18,8.08,Credit Card,5
ORD068,PROD078,Sports,Treadmills,08-10-2024,11-10-2024,CUST178,Michael Spence,North America,Canada,437.62,3,0.21,93.34,34.29,PayPal,1
ORD069,PROD079,Books,Educational,21-02-2025,26-02-2025,CUST179,Michael Trevino,South America,Argentina,259.2,2,0.23,66.81,10.94,Debit Card,4
ORD070,PROD080,Electronics,Smartphones,13-05-2024,19-05-2024,CUST180,Gregory Jones,South America,Colombia,259,3,0.11,57.71,26.68,Debit Card,2
ORD071,PROD081,Beauty,Skincare,29-09-2024,04-10-2024,CUST181,Cheryl Lee,South America,Colombia,43.78,4,0.21,6.45,23.29,Debit Card,1
ORD072,PROD082,Electronics,Tablets,31-03-2024,09-04-2024,CUST182,Daniel Wells,North America,Canada,242.21,2,0.15,43.88,43.58,Debit Card,1
ORD073,PROD083,Books,Fiction,03-11-2024,05-11-2024,CUST183,Hannah Campbell,South America,Argentina,206.89,2,0.01,21.63,46.25,PayPal,5
ORD074,PROD084,Toys,Action Figures,29-09-2024,03-10-2024,CUST184,Bob Esparza,Australia,New Zealand,425.26,4,0.29,61.7,35.28,Credit Card,4
ORD075,PROD085,Books,Non-Fiction,22-11-2024,24-11-2024,CUST185,Jimmy Lambert,Europe,France,258.7,1,0.11,41.53,38.75,Credit Card,2
ORD076,PROD086,Beauty,Makeup,18-12-2024,27-12-2024,CUST186,Leah Hernandez,Asia,India,246.75,2,0.04,55.93,11.34,Debit Card,3
ORD077,PROD087,Beauty,Skincare,06-05-2024,09-05-2024,CUST187,Stephanie Mills,South America,Argentina,445.13,4,0.16,95.17,23.65,PayPal,4
ORD078,PROD088,Sports,Treadmills,04-02-2025,06-02-2025,CUST188,James Becker,Asia,Japan,202.62,1,0.23,36.88,15.69,Credit Card,4
ORD079,PROD089,Electronics,Headphones,06-01-2025,14-01-2025,CUST189,Thomas Hart,South America,Brazil,435.33,3,0.04,59.13,26.76,PayPal,4
ORD080,PROD090,Clothing,Shoes,22-01-2025,26-01-2025,CUST190,Christine Valenzuela,South America,Colombia,273.45,3,0.05,79.85,41.69,Credit Card,2
ORD081,PROD091,Electronics,Laptops,30-07-2024,06-08-2024,CUST191,Patricia Bishop,Europe,France,459.62,2,0.24,56.52,32.8,Credit Card,1
ORD082,PROD092,Home & Kitchen,Bedding,08-12-2024,12-12-2024,CUST192,Emily Greene,Asia,India,364.17,1,0.25,70.92,31.81,PayPal,4
ORD083,PROD093,Home & Kitchen,Bedding,26-05-2024,31-05-2024,CUST193,Brad Diaz,North America,Canada,206.25,3,0.26,31.38,26.59,Debit Card,3
ORD084,PROD094,Electronics,Smartphones,10-03-2024,19-03-2024,CUST194,Roy Nelson,Asia,India,335.04,4,0.2,91.14,47.12,PayPal,1
ORD085,PROD095,Sports,Bicycles,29-02-2024,07-03-2024,CUST195,Andre Ferguson,Europe,UK,200.05,2,0.11,25.44,11.44,Gift Card,1
ORD086,PROD096,Books,Educational,09-10-2024,11-10-2024,CUST196,Steven Marquez,South America,Brazil,246.15,4,0.13,58.53,37.5,Credit Card,1
ORD087,PROD097,Books,Educational,24-03-2024,27-03-2024,CUST197,Matthew Warren,North America,Mexico,470.38,2,0.15,102.59,40.57,PayPal,3
ORD088,PROD098,Books,Non-Fiction,03-09-2024,09-09-2024,CUST198,Reginald Thomas,Australia,New Zealand,40.1,3,0.15,7.91,46.48,Credit Card,1
ORD089,PROD099,Home & Kitchen,Decor,19-11-2024,24-11-2024,CUST199,Christopher Moore,Australia,New Zealand,321.94,3,0.2,37.78,37.99,Credit Card,4
ORD090,PROD100,Toys,Puzzles,20-08-2024,27-08-2024,CUST200,Kimberly Cabrera,South America,Colombia,175.26,2,0.11,21.84,37.61,Debit Card,4
ORD091,PROD101,Electronics,Smartphones,28-01-2025,01-02-2025,CUST201,Ms. April Villarreal DVM,South America,Colombia,345.46,2,0.09,73.89,37.05,Credit Card,5
ORD092,PROD102,Toys,Board Games,30-05-2024,04-06-2024,CUST202,Tammy Luna,Asia,South Korea,424.67,3,0.1,95.95,31.61,Credit Card,4
ORD093,PROD103,Clothing,Shirts,21-05-2024,30-05-2024,CUST203,Sarah Matthews,Asia,Japan,329.02,3,0.01,35.2,10.86,Credit Card,5
ORD094,PROD104,Sports,Treadmills,02-02-2025,07-02-2025,CUST204,Tracy Sampson,Europe,Italy,373.59,1,0.1,45.85,31.64,PayPal,5
ORD095,PROD105,Books,Educational,19-09-2024,24-09-2024,CUST205,Christopher Munoz,Europe,Germany,412.27,1,0.07,71.93,39.51,Gift Card,5
ORD096,PROD106,Home & Kitchen,Decor,07-06-2024,15-06-2024,CUST206,Michael Rose,Australia,Australia,158.22,3,0.16,45.95,36.44,Debit Card,1
ORD097,PROD107,Beauty,Perfumes,13-04-2024,15-04-2024,CUST207,Donna Gomez,South America,Colombia,306.91,1,0.12,49.43,35.95,Gift Card,4
ORD098,PROD108,Sports,Sportswear,01-02-2025,10-02-2025,CUST208,Anne Edwards,Europe,Italy,89.49,2,0.26,25.3,31.9,Debit Card,5
ORD099,PROD109,Clothing,Shirts,13-01-2025,16-01-2025,CUST209,Sue Jefferson,North America,Canada,414.52,1,0.2,46.25,33.4,Gift Card,3
ORD100,PROD110,Books,Fiction,09-05-2024,14-05-2024,CUST210,Jeffrey Warner,Europe,Italy,306.72,4,0.21,34.17,20.8,PayPal,2
ORD101,PROD111,Sports,Sportswear,22-09-2024,27-09-2024,CUST211,Deborah Griffin,Europe,UK,173.96,4,0.2,48.42,12.3,Gift Card,5
ORD102,PROD112,Electronics,Smartphones,31-03-2024,03-04-2024,CUST212,Brandon Young,South America,Argentina,367.97,1,0.06,38.21,32.74,PayPal,4
ORD103,PROD113,Books,Non-Fiction,11-01-2025,20-01-2025,CUST213,Juan Johnson,North America,Canada,467.69,3,0.27,57,38.82,Debit Card,3
ORD104,PROD114,Beauty,Skincare,05-08-2024,14-08-2024,CUST214,Barbara Harrell,North America,Canada,139.77,1,0.11,16.08,43.38,PayPal,3
ORD105,PROD115,Beauty,Perfumes,25-08-2024,01-09-2024,CUST215,Peggy Beasley,Australia,New Zealand,198.36,3,0.19,29.52,26.13,Debit Card,2
ORD106,PROD116,Beauty,Skincare,17-03-2024,24-03-2024,CUST216,Joy Lewis,Asia,India,128.78,3,0.09,30.71,6.67,Credit Card,2
ORD107,PROD117,Electronics,Headphones,06-05-2024,08-05-2024,CUST217,Kathryn Dean,North America,Canada,114.7,1,0.27,33.76,25.08,Debit Card,4
ORD108,PROD118,Sports,Sportswear,01-04-2024,04-04-2024,CUST218,Amber Bailey,Australia,Australia,230.38,2,0.19,36.76,48.32,Credit Card,4
ORD109,PROD119,Home & Kitchen,Bedding,17-01-2025,20-01-2025,CUST219,Michele Moran,Australia,Australia,491.63,2,0.27,98.72,11.75,PayPal,4
ORD110,PROD120,Toys,Stuffed Toys,08-02-2025,13-02-2025,CUST220,Tammy Berg,Australia,Australia,215.27,2,0.13,50.58,20.88,PayPal,4
ORD111,PROD121,Beauty,Makeup,19-02-2025,22-02-2025,CUST221,Leslie Romero,Australia,Australia,115.87,3,0.02,25.96,22.58,Gift Card,4
ORD112,PROD122,Sports,Sportswear,27-05-2024,02-06-2024,CUST222,Henry Bernard,Asia,South Korea,454.85,2,0.02,45.78,8.16,Debit Card,4
ORD113,PROD123,Clothing,Shirts,21-09-2024,27-09-2024,CUST223,Eric Farmer,Asia,South Korea,128.12,4,0.16,20.71,47.22,Credit Card,5
ORD114,PROD124,Sports,Bicycles,22-04-2024,28-04-2024,CUST224,Shirley Flores,North America,Canada,480.44,3,0.26,52.57,19.71,PayPal,4
ORD115,PROD125,Home & Kitchen,Furniture,19-01-2025,27-01-2025,CUST225,Alexander Green,North America,USA,51.88,2,0.12,10.99,46.38,Gift Card,1
ORD116,PROD126,Beauty,Perfumes,27-11-2024,30-11-2024,CUST226,Tanya Jackson,North America,Mexico,117.46,2,0.19,35.07,42.92,Debit Card,3
ORD117,PROD127,Clothing,Jackets,23-06-2024,01-07-2024,CUST227,David Powell,Europe,Germany,434.32,2,0.16,88.39,34.74,Credit Card,3
ORD118,PROD128,Toys,Board Games,03-05-2024,10-05-2024,CUST228,Andrea Hudson,North America,USA,274.16,1,0.11,28.23,29.59,Debit Card,3
ORD119,PROD129,Toys,Board Games,21-10-2024,28-10-2024,CUST229,Adam Jimenez,Asia,India,169.73,2,0.19,23.13,34.59,Credit Card,4
ORD120,PROD130,Toys,Puzzles,04-10-2024,06-10-2024,CUST230,Michael Glass,North America,Canada,450.4,3,0.25,78.67,23.32,Gift Card,5
ORD121,PROD131,Sports,Sportswear,22-08-2024,24-08-2024,CUST231,Julie Riggs,Europe,Italy,353.69,3,0.24,91.92,46.52,Debit Card,1
ORD122,PROD132,Books,Fiction,16-12-2024,21-12-2024,CUST232,Lisa Wright,Europe,UK,230.41,1,0.21,23.89,9.74,Debit Card,3
ORD123,PROD133,Sports,Dumbbells,12-07-2024,20-07-2024,CUST233,Jared Lopez,Europe,Italy,170.48,3,0.3,26.08,37.28,Credit Card,4
ORD124,PROD134,Clothing,Jackets,01-10-2024,08-10-2024,CUST234,Gina Watson,South America,Argentina,409.22,4,0.03,112.46,17.04,Credit Card,3
ORD125,PROD135,Books,Educational,23-01-2025,01-02-2025,CUST235,Nancy Jones,Europe,France,158.89,4,0.19,21.53,21.63,Gift Card,1
ORD126,PROD136,Clothing,Shirts,28-02-2025,07-03-2025,CUST236,Tyler Arnold,Europe,Germany,463.02,3,0.03,69.79,10.99,Debit Card,1
ORD127,PROD137,Home & Kitchen,Cookware,08-03-2024,14-03-2024,CUST237,Steven James,South America,Colombia,277.13,1,0.01,58.58,36.65,Debit Card,4
ORD128,PROD138,Books,Educational,16-07-2024,19-07-2024,CUST238,Martin Bradley,Australia,New Zealand,101.65,3,0.29,24.17,46.05,Gift Card,5
ORD129,PROD139,Electronics,Laptops,11-11-2024,19-11-2024,CUST239,Brian Knight,Europe,Germany,184.1,1,0.15,54.37,26.49,Debit Card,4
ORD130,PROD140,Electronics,Tablets,25-11-2024,30-11-2024,CUST240,Ronnie Henry,North America,Canada,499.78,1,0.04,66.56,31.97,Debit Card,1
ORD131,PROD141,Books,Non-Fiction,23-10-2024,01-11-2024,CUST241,Christopher Payne,North America,Mexico,464.24,4,0.02,96.1,27.27,PayPal,3
ORD132,PROD142,Electronics,Laptops,29-08-2024,04-09-2024,CUST242,Nicholas Fritz,Europe,UK,238.06,2,0.06,52.19,25.02,Gift Card,3
ORD133,PROD143,Sports,Treadmills,18-03-2024,20-03-2024,CUST243,Rachel Clayton,Europe,Italy,368.67,3,0.03,106.1,19.91,Gift Card,5
ORD134,PROD144,Home & Kitchen,Cookware,14-08-2024,21-08-2024,CUST244,Morgan Roberts,Asia,India,405.98,3,0.27,40.84,16.32,Gift Card,3
ORD135,PROD145,Home & Kitchen,Decor,24-12-2024,27-12-2024,CUST245,Johnathan Griffith,Asia,Japan,178.57,1,0.07,42.62,48,PayPal,4
ORD136,PROD146,Books,Non-Fiction,15-05-2024,18-05-2024,CUST246,Mary Cantu,Australia,New Zealand,453.1,2,0.27,113.43,35.04,PayPal,5
ORD137,PROD147,Home & Kitchen,Cookware,02-11-2024,06-11-2024,CUST247,Michael Walker,North America,USA,243.31,2,0.19,53.39,40.66,PayPal,4
ORD138,PROD148,Sports,Sportswear,23-04-2024,26-04-2024,CUST248,Michael Lewis,North America,Canada,355.15,3,0.02,36.06,47.87,Credit Card,1
ORD139,PROD149,Clothing,Shirts,27-07-2024,05-08-2024,CUST249,Samantha Green,Europe,Germany,437.08,3,0.18,43.99,46.18,Credit Card,1
ORD140,PROD150,Electronics,Smartphones,15-05-2024,18-05-2024,CUST250,Tyler Zhang,South America,Colombia,124.15,2,0.05,20.2,9.82,PayPal,4
ORD141,PROD151,Beauty,Perfumes,14-05-2024,21-05-2024,CUST251,Jacqueline Sims,Europe,UK,332.54,1,0.18,60.19,21.1,Credit Card,1
ORD142,PROD152,Books,Educational,15-01-2025,20-01-2025,CUST252,Julie Hardy,North America,USA,175.57,3,0.06,40.55,39.01,Credit Card,1
ORD143,PROD153,Electronics,Smartphones,31-01-2025,02-02-2025,CUST253,Ashley Vazquez,Asia,Japan,341.28,4,0.06,86.49,26.58,PayPal,2
ORD144,PROD154,Electronics,Smartphones,18-01-2025,23-01-2025,CUST254,Megan Webb,South America,Brazil,297.66,4,0.25,44.38,44.15,Gift Card,4
ORD145,PROD155,Toys,Board Games,15-12-2024,22-12-2024,CUST255,Michael Reid,Asia,China,289.21,3,0.27,59.34,46.17,Gift Card,1
ORD146,PROD156,Electronics,Laptops,27-06-2024,29-06-2024,CUST256,Pamela Navarro,Europe,Italy,261.05,4,0.11,36.65,6.1,Gift Card,1
ORD147,PROD157,Toys,Puzzles,01-01-2025,07-01-2025,CUST257,Ashley Jackson,South America,Colombia,337.9,4,0.07,97.68,8.79,Gift Card,4
ORD148,PROD158,Books,Educational,17-06-2024,22-06-2024,CUST258,Laura Lynch,North America,Mexico,366.24,2,0.23,96.01,33.37,Debit Card,1
ORD149,PROD159,Beauty,Skincare,08-06-2024,11-06-2024,CUST259,Jennifer Jenkins,South America,Argentina,242.56,2,0.03,36.52,24.28,PayPal,1
ORD150,PROD160,Beauty,Makeup,30-09-2024,05-10-2024,CUST260,Darrell Ramos,Europe,UK,244.28,1,0.17,43.85,22.31,Debit Card,5
ORD151,PROD161,Books,Non-Fiction,09-06-2024,15-06-2024,CUST261,Ann Mooney,Australia,Australia,321.03,3,0.04,87.94,44.88,Credit Card,2
ORD152,PROD162,Books,Fiction,20-06-2024,28-06-2024,CUST262,Kimberly Bailey,Asia,Japan,477.41,4,0.08,137.59,23.08,Credit Card,2
ORD153,PROD163,Home & Kitchen,Furniture,31-12-2024,09-01-2025,CUST263,Ryan Wells,North America,Mexico,212.5,2,0.02,54.34,35.87,Gift Card,4
ORD154,PROD164,Toys,Action Figures,10-01-2025,15-01-2025,CUST264,Sara James,Australia,Australia,152.41,3,0,17.07,37.26,Debit Card,1
ORD155,PROD165,Toys,Action Figures,23-05-2024,26-05-2024,CUST265,Mark Mcdaniel,Australia,New Zealand,464.07,4,0.1,114.28,34.84,Credit Card,2
ORD156,PROD166,Books,Fiction,10-01-2025,17-01-2025,CUST266,Melissa Thompson,Australia,Australia,119.62,2,0.16,25.31,34.94,Credit Card,3
ORD157,PROD167,Books,Non-Fiction,28-03-2024,06-04-2024,CUST267,Kevin Johnson,South America,Argentina,330.14,2,0.07,49.87,7.99,Credit Card,4
ORD158,PROD168,Clothing,Shoes,15-09-2024,17-09-2024,CUST268,Cody Hammond,South America,Argentina,205.19,4,0.16,48.49,49.05,Gift Card,5
ORD159,PROD169,Books,Educational,18-07-2024,21-07-2024,CUST269,Tyler Phillips,Europe,Germany,499.97,4,0.14,108.13,36.82,Debit Card,4
ORD160,PROD170,Books,Comics,18-12-2024,23-12-2024,CUST270,Tim Armstrong,Europe,Italy,111.63,1,0.01,31.41,21.52,Credit Card,5
ORD161,PROD171,Beauty,Perfumes,08-02-2025,15-02-2025,CUST271,Laurie Mitchell,Australia,Australia,116.62,2,0.2,17.47,8.92,PayPal,5
ORD162,PROD172,Books,Fiction,17-09-2024,21-09-2024,CUST272,Derek Mendoza,Australia,Australia,231,1,0.1,37.65,35.36,Credit Card,2
ORD163,PROD173,Books,Fiction,16-04-2024,24-04-2024,CUST273,Megan Garcia,North America,Mexico,489.07,1,0.17,128.68,26.71,Credit Card,1
ORD164,PROD174,Sports,Sportswear,12-10-2024,16-10-2024,CUST274,Kristina Smith,Asia,India,120.56,4,0.05,32.82,28.49,Gift Card,4
ORD165,PROD175,Electronics,Tablets,25-01-2025,30-01-2025,CUST275,James Jones,Europe,UK,212.14,2,0.1,62.56,26.54,Credit Card,2
ORD166,PROD176,Toys,Stuffed Toys,24-04-2024,29-04-2024,CUST276,Cody Baldwin,Europe,UK,120.61,3,0.11,15.9,42.57,PayPal,3
ORD167,PROD177,Home & Kitchen,Furniture,10-08-2024,16-08-2024,CUST277,Joshua Carr,North America,USA,230.85,3,0.12,48.69,25.7,Debit Card,5
ORD168,PROD178,Books,Educational,07-02-2025,11-02-2025,CUST278,Rachel Lee,Australia,New Zealand,61.89,4,0.12,16.74,49.11,Debit Card,2
ORD169,PROD179,Electronics,Laptops,12-05-2024,21-05-2024,CUST279,Kimberly Morales,Australia,New Zealand,36.17,2,0.11,8.27,49.36,Debit Card,2
ORD170,PROD180,Beauty,Makeup,30-06-2024,06-07-2024,CUST280,Brandon Nelson,Australia,New Zealand,395.59,4,0.05,48.52,6.86,PayPal,4
